articleTitle,articleLink,discussionResult,discussionResultDate,totalUser,totalPosts,totalWords,totalChars,keepVote,deleteVote,otherVotesCount,generalNotabilityCount,eventNotabilityCount,orgNotabilityCount,otherNotabilityCount,revClosestDate,revClosestID,revEditSize,revPageTitle
Southampton First,/wiki/Wikipedia:Articles_for_deletion/Southampton_First,delete,2012-01-20 00:33:00,8,3,80,489,0,3,0,1,0,0,1,2012-01-10 09:55:48,470587855,725,Wikipedia:Notability_(organizations_and_companies)
Lehigh Valley Rollergirls,/wiki/Wikipedia:Articles_for_deletion/Lehigh_Valley_Rollergirls,no consensus,2012-01-18 01:07:00,12,9,998,5887,1,2,4,0,0,0,2,2011-12-29 11:00:17,468249456,2,Wikipedia:Notability_(events)
Cloister Inn,/wiki/Wikipedia:Articles_for_deletion/Cloister_Inn,keep,2012-01-18 02:02:00,8,4,609,3734,3,0,1,1,0,0,0,2012-01-10 09:55:48,470587855,725,Wikipedia:Notability_(organizations_and_companies)
Hauppauge Volunteer Fire Department,/wiki/Wikipedia:Articles_for_deletion/Hauppauge_Volunteer_Fire_Department,delete,2012-01-17 02:49:00,22,15,739,4544,2,5,7,0,0,2,4,2012-01-04 03:29:00,469444388,1,Wikipedia:Notability_(organizations_and_companies)
Eidos Institute (2nd nomination),/wiki/Wikipedia:Articles_for_deletion/Eidos_Institute_(2nd_nomination),delete,2012-01-16 18:03:00,5,2,27,193,0,1,1,1,0,1,1,2011-12-29 11:00:17,468249456,2,Wikipedia:Notability_(events)
Curtin University of Technology Student Guild,/wiki/Wikipedia:Articles_for_deletion/Curtin_University_of_Technology_Student_Guild,redirect to,2012-01-16 12:18:00,7,4,87,563,0,2,2,0,0,0,4,2012-01-04 03:29:00,469444388,1,Wikipedia:Notability_(organizations_and_companies)
North American Invitational Model United Nations,/wiki/Wikipedia:Articles_for_deletion/North_American_Invitational_Model_United_Nations,redirect,2012-01-16 01:11:00,3,0,0,0,0,0,0,0,0,0,4,2012-01-04 03:29:00,469444388,1,Wikipedia:Notability_(organizations_and_companies)
Chhatra Lok Janshakti,/wiki/Wikipedia:Articles_for_deletion/Chhatra_Lok_Janshakti,delete,2012-01-15 16:50:00,12,15,401,2603,2,6,1,4,0,0,0,2011-12-26 10:48:21,467737719,2,Wikipedia:Notability_(events)
2Build 4Ward International Organization,/wiki/Wikipedia:Articles_for_deletion/2Build_4Ward_International_Organization,Delete,2012-01-15 08:09:00,5,2,77,455,0,2,0,0,0,1,1,2011-12-29 11:00:17,468249456,2,Wikipedia:Notability_(events)
GUSIF,/wiki/Wikipedia:Articles_for_deletion/GUSIF,delete,2012-01-15 08:04:00,5,2,104,665,0,2,0,0,0,0,1,2011-12-29 11:00:17,468249456,2,Wikipedia:Notability_(events)
World-Wide Human Geography Data (WWHGD) Working Group,/wiki/Wikipedia:Articles_for_deletion/World-Wide_Human_Geography_Data_(WWHGD)_Working_Group,delete,2012-01-15 08:07:00,4,1,39,228,0,1,0,1,0,0,0,2012-01-04 03:29:00,469444388,1,Wikipedia:Notability_(organizations_and_companies)
The Network Talent,/wiki/Wikipedia:Articles_for_deletion/The_Network_Talent,delete,2012-01-14 16:07:00,6,3,240,1461,0,2,1,0,0,0,1,2011-12-29 11:00:17,468249456,2,Wikipedia:Notability_(events)
Victorian Jazz Archive,/wiki/Wikipedia:Articles_for_deletion/Victorian_Jazz_Archive,keep,2012-01-14 05:57:00,7,4,196,1210,1,0,3,0,0,0,1,2012-01-04 03:29:00,469444388,1,Wikipedia:Notability_(organizations_and_companies)
Biofortified,/wiki/Wikipedia:Articles_for_deletion/Biofortified,delete,2012-01-13 20:07:00,12,8,680,4230,1,3,4,0,0,0,1,2011-12-29 11:00:17,468249456,2,Wikipedia:Notability_(events)
The Upstairs Club,/wiki/Wikipedia:Articles_for_deletion/The_Upstairs_Club,delete,2012-01-12 16:12:00,6,3,119,679,0,1,2,1,0,0,0,2012-01-04 03:29:00,469444388,1,Wikipedia:Notability_(organizations_and_companies)
Abertay University Labour Society,/wiki/Wikipedia:Articles_for_deletion/Abertay_University_Labour_Society,delete,2012-01-12 14:54:00,6,2,84,487,0,2,0,1,0,0,0,2012-01-04 03:29:00,469444388,1,Wikipedia:Notability_(organizations_and_companies)
Ocean County Sheriff's Department,/wiki/Wikipedia:Articles_for_deletion/Ocean_County_Sheriff%27s_Department,no consensus,2012-01-10 20:50:00,15,13,586,3712,4,3,5,2,0,0,1,2011-12-29 11:00:17,468249456,2,Wikipedia:Notability_(events)
Georgetown Solidarity Committee,/wiki/Wikipedia:Articles_for_deletion/Georgetown_Solidarity_Committee,redirect to,2012-01-10 20:50:00,8,4,86,608,0,1,2,0,0,1,0,2011-12-29 11:00:17,468249456,2,Wikipedia:Notability_(events)
Irish Fact Finding Delegation On Bahrain,/wiki/Wikipedia:Articles_for_deletion/Irish_Fact_Finding_Delegation_On_Bahrain,merge to,2012-01-10 04:46:00,3,0,0,0,0,0,0,0,0,1,0,2011-12-25 12:13:09,467622448,27,Wikipedia:Notability_(organizations_and_companies)
MIT Crime Club,/wiki/Wikipedia:Articles_for_deletion/MIT_Crime_Club,keep,2012-01-09 13:32:00,6,2,41,262,2,0,0,0,0,0,1,2011-12-29 11:00:17,468249456,2,Wikipedia:Notability_(events)
Solar Cookers World Network,/wiki/Wikipedia:Articles_for_deletion/Solar_Cookers_World_Network,redirect to,2012-01-08 20:55:00,6,3,81,519,0,0,2,0,0,0,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Passion of Art Cultural Society,/wiki/Wikipedia:Articles_for_deletion/Passion_of_Art_Cultural_Society,delete,2012-01-08 23:44:00,5,1,10,91,0,1,0,0,0,0,1,2011-12-29 11:00:17,468249456,2,Wikipedia:Notability_(events)
Kingdom of Elleore,/wiki/Wikipedia:Articles_for_deletion/Kingdom_of_Elleore,Keep,2012-01-08 20:08:00,9,8,565,4970,5,0,3,3,0,0,0,2011-12-29 11:00:17,468249456,2,Wikipedia:Notability_(events)
E-International Relations,/wiki/Wikipedia:Articles_for_deletion/E-International_Relations,no consensus,2012-01-08 19:55:00,10,8,713,4164,3,0,2,1,0,0,9,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Pancreatic Cancer Action Network,/wiki/Wikipedia:Articles_for_deletion/Pancreatic_Cancer_Action_Network,delete,2012-01-08 19:51:00,6,2,47,275,0,0,2,0,0,1,0,2011-12-29 11:00:17,468249456,2,Wikipedia:Notability_(events)
Press for Peace (2nd nomination),/wiki/Wikipedia:Articles_for_deletion/Press_for_Peace_(2nd_nomination),delete,2012-01-07 11:46:00,3,1,26,165,0,1,0,0,0,0,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Berlin Lacrosse Club,/wiki/Wikipedia:Articles_for_deletion/Berlin_Lacrosse_Club,delete,2012-01-07 08:50:00,4,1,25,154,0,1,0,0,0,0,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Great Swamp Watershed Association,/wiki/Wikipedia:Articles_for_deletion/Great_Swamp_Watershed_Association,speedy keep,2012-01-07 13:19:00,5,5,213,1283,4,0,1,1,0,0,1,2011-12-29 11:00:17,468249456,2,Wikipedia:Notability_(events)
Uplifting Athletes,/wiki/Wikipedia:Articles_for_deletion/Uplifting_Athletes,keep,2012-01-05 22:45:00,5,3,68,396,3,0,0,3,0,1,0,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
The Order of the Black Sheep,/wiki/Wikipedia:Articles_for_deletion/The_Order_of_the_Black_Sheep,delete,2012-01-05 22:39:00,4,1,18,134,0,0,0,3,0,1,0,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Family and Parenting Institute,/wiki/Wikipedia:Articles_for_deletion/Family_and_Parenting_Institute,keep,2012-01-06 05:57:00,6,3,122,752,2,0,1,1,0,0,3,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
TRNOG,/wiki/Wikipedia:Articles_for_deletion/TRNOG,delete,2012-01-06 00:34:00,7,3,64,404,0,3,0,1,0,0,0,2011-12-29 11:00:17,468249456,2,Wikipedia:Notability_(events)
Cannon Club,/wiki/Wikipedia:Articles_for_deletion/Cannon_Club,delete,2012-01-05 17:56:00,6,2,120,716,1,1,0,1,0,0,0,2011-12-26 10:48:21,467737719,2,Wikipedia:Notability_(events)
Women's League,/wiki/Wikipedia:Articles_for_deletion/Women%27s_League,delete,2012-01-05 14:59:00,5,1,44,262,0,0,1,1,0,0,0,2011-12-26 10:48:21,467737719,2,Wikipedia:Notability_(events)
Hayling Musical Society,/wiki/Wikipedia:Articles_for_deletion/Hayling_Musical_Society,Delete,2012-01-04 21:09:00,6,3,92,538,0,2,1,0,0,4,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Conservation Council of Nations,/wiki/Wikipedia:Articles_for_deletion/Conservation_Council_of_Nations,redirect to,2012-01-05 04:34:00,5,2,202,1284,0,0,2,0,0,4,1,2011-12-26 10:48:21,467737719,2,Wikipedia:Notability_(events)
TippityTop Theatre Company,/wiki/Wikipedia:Articles_for_deletion/TippityTop_Theatre_Company,speedy delete,2012-01-05 03:06:00,4,2,46,258,0,0,2,0,0,4,1,2012-01-04 03:29:00,469444388,1,Wikipedia:Notability_(organizations_and_companies)
Newname performance,/wiki/Wikipedia:Articles_for_deletion/Newname_performance,delete,2012-01-04 09:20:00,5,2,146,912,0,2,0,0,0,0,3,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Engineering Society of Multimedia University,/wiki/Wikipedia:Articles_for_deletion/Engineering_Society_of_Multimedia_University,Delete,2012-01-03 19:07:00,5,2,38,220,0,2,0,0,0,0,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Saleen Owners and Enthusiasts Club,/wiki/Wikipedia:Articles_for_deletion/Saleen_Owners_and_Enthusiasts_Club,delete,2012-01-03 20:33:00,5,2,48,300,0,2,0,0,0,0,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
West Sussex Youth Cabinet,/wiki/Wikipedia:Articles_for_deletion/West_Sussex_Youth_Cabinet,"Speedy Delete, G12",2012-01-04 04:32:00,8,4,100,666,0,1,2,1,0,1,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Pathak trust,/wiki/Wikipedia:Articles_for_deletion/Pathak_trust,speedy delete,2012-01-03 21:03:00,6,2,83,486,0,1,1,1,0,1,2,2011-12-26 10:48:21,467737719,2,Wikipedia:Notability_(events)
Xe Watch,/wiki/Wikipedia:Articles_for_deletion/Xe_Watch,delete,2012-01-01 17:40:00,5,2,164,955,0,2,0,1,1,0,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Autonomy for Bolivia,/wiki/Wikipedia:Articles_for_deletion/Autonomy_for_Bolivia,redirect to,2011-12-31 09:48:00,7,2,57,350,0,0,2,0,0,1,0,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Society for Undergraduate Science Students (SUSS),/wiki/Wikipedia:Articles_for_deletion/Society_for_Undergraduate_Science_Students_(SUSS),speedy delete,2011-12-31 16:19:00,4,2,56,389,0,2,0,1,0,1,2,2011-12-29 11:00:17,468249456,2,Wikipedia:Notability_(events)
Information Science Institute of Sripatum University,/wiki/Wikipedia:Articles_for_deletion/Information_Science_Institute_of_Sripatum_University,redirect to,2011-12-31 00:10:00,9,4,100,653,0,0,4,1,0,1,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Ade Olufeko,/wiki/Wikipedia:Articles_for_deletion/Ade_Olufeko,Merged with,2011-12-30 05:50:00,7,3,94,568,0,0,3,1,0,0,2,2011-12-26 10:48:21,467737719,2,Wikipedia:Notability_(events)
The European Network of Innovation Agencies,/wiki/Wikipedia:Articles_for_deletion/The_European_Network_of_Innovation_Agencies,delete,2011-12-29 12:32:00,6,3,114,730,0,2,1,1,0,0,0,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Clock tower association,/wiki/Wikipedia:Articles_for_deletion/Clock_tower_association,Delete,2011-12-28 16:08:00,11,8,431,2619,1,2,5,0,0,0,3,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Cleveland State University Poetry Center,/wiki/Wikipedia:Articles_for_deletion/Cleveland_State_University_Poetry_Center,keep,2011-12-27 16:19:00,15,11,661,4113,6,2,3,0,0,1,4,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
HemiHelp,/wiki/Wikipedia:Articles_for_deletion/HemiHelp,delete,2011-12-27 04:09:00,7,5,162,980,1,2,2,0,0,0,3,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
East Turkistan Government in Exile,/wiki/Wikipedia:Articles_for_deletion/East_Turkistan_Government_in_Exile,redirect to,2011-12-27 08:11:00,9,5,147,991,0,2,3,0,0,0,3,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Twelve Thirty Eight,/wiki/Wikipedia:Articles_for_deletion/Twelve_Thirty_Eight,DELETE,2011-12-27 08:34:00,6,3,85,563,0,3,0,0,0,0,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Patriot Strategies,/wiki/Wikipedia:Articles_for_deletion/Patriot_Strategies,delete,2011-12-26 23:00:00,4,1,21,125,0,1,0,1,0,0,0,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
The Whitest People U'Know,/wiki/Wikipedia:Articles_for_deletion/The_Whitest_People_U%27Know,speedy delete,2011-12-26 19:35:00,6,2,59,315,0,0,1,0,0,0,1,2011-12-25 12:13:09,467622448,27,Wikipedia:Notability_(organizations_and_companies)
Dialog Center,/wiki/Wikipedia:Articles_for_deletion/Dialog_Center,keep,2011-12-24 19:52:00,8,5,183,1146,3,0,2,0,0,1,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Green Standard,/wiki/Wikipedia:Articles_for_deletion/Green_Standard,delete,2011-12-24 20:09:00,7,6,103,779,0,0,2,0,0,0,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
York University Sailing and Windsurfing Club,/wiki/Wikipedia:Articles_for_deletion/York_University_Sailing_and_Windsurfing_Club,DELETE,2011-12-24 13:53:00,7,3,83,529,0,2,1,0,0,0,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Art Index,/wiki/Wikipedia:Articles_for_deletion/Art_Index,delete,2011-12-22 09:29:00,5,2,118,679,0,2,0,1,0,0,0,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Queens' Guard (College of William and Mary),/wiki/Wikipedia:Articles_for_deletion/Queens%27_Guard_(College_of_William_and_Mary),delete,2011-12-21 21:37:00,7,5,113,673,0,1,4,2,0,0,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Martin County Sheriff's Office,/wiki/Wikipedia:Articles_for_deletion/Martin_County_Sheriff%27s_Office,redirect,2011-12-21 23:49:00,5,2,114,671,0,0,2,1,0,0,0,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
The Rhodes Project,/wiki/Wikipedia:Articles_for_deletion/The_Rhodes_Project,delete,2011-12-20 15:07:00,8,5,214,1363,0,2,3,2,0,0,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Chapel Hill and Carrboro Human Rights Center,/wiki/Wikipedia:Articles_for_deletion/Chapel_Hill_and_Carrboro_Human_Rights_Center,delete,2011-12-20 14:55:00,6,3,207,1245,1,2,0,1,0,0,0,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Retraining of Racehorses,/wiki/Wikipedia:Articles_for_deletion/Retraining_of_Racehorses,keep,2011-12-20 15:19:00,15,12,1111,6698,3,0,3,0,0,0,5,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Phi Sigma Gamma,/wiki/Wikipedia:Articles_for_deletion/Phi_Sigma_Gamma,KEEP,2011-12-20 12:31:00,7,4,141,865,2,0,2,0,0,0,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Bartlett Park District Theatre,/wiki/Wikipedia:Articles_for_deletion/Bartlett_Park_District_Theatre,delete,2011-12-20 11:40:00,5,2,56,360,0,2,0,2,0,1,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Comedy Club China,/wiki/Wikipedia:Articles_for_deletion/Comedy_Club_China,Speedy delete,2011-12-20 13:27:00,2,0,0,0,0,0,0,2,0,1,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Tokheim,/wiki/Wikipedia:Articles_for_deletion/Tokheim,RESULT = Speedy Keep,2011-12-20 14:28:00,6,0,0,0,0,0,0,2,0,1,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Point nine nine,/wiki/Wikipedia:Articles_for_deletion/Point_nine_nine,redirect to,2011-12-19 15:25:00,8,4,188,1106,0,1,3,2,0,1,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Asian Pacific American Network of Oregon,/wiki/Wikipedia:Articles_for_deletion/Asian_Pacific_American_Network_of_Oregon,delete,2011-12-19 17:01:00,6,3,70,390,0,2,1,0,0,1,0,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Christian Action Network,/wiki/Wikipedia:Articles_for_deletion/Christian_Action_Network,keep,2011-12-20 02:38:00,7,4,76,431,4,0,0,1,0,0,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Clemson Alumni Society for Equality,/wiki/Wikipedia:Articles_for_deletion/Clemson_Alumni_Society_for_Equality,delete,2011-12-19 03:02:00,6,3,80,469,0,3,0,0,0,2,0,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
"Sprague Astronautics Company, Inc","/wiki/Wikipedia:Articles_for_deletion/Sprague_Astronautics_Company,_Inc",delete,2011-12-19 03:09:00,16,13,814,5740,1,5,6,4,0,0,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Power and Interest News Report (2nd nomination),/wiki/Wikipedia:Articles_for_deletion/Power_and_Interest_News_Report_(2nd_nomination),delete,2011-12-19 03:32:00,6,3,109,656,0,2,1,0,0,1,0,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
ICASE 2009,/wiki/Wikipedia:Articles_for_deletion/ICASE_2009,delete,2011-12-19 08:30:00,7,2,69,423,0,2,0,0,0,1,0,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Stop the Rot,/wiki/Wikipedia:Articles_for_deletion/Stop_the_Rot,KEEP (no consensus),2011-12-18 22:05:00,9,5,295,1786,3,0,2,0,0,0,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Alpha Kappa Omega,/wiki/Wikipedia:Articles_for_deletion/Alpha_Kappa_Omega,DELETE,2011-12-18 22:00:00,6,3,123,733,0,2,1,0,0,0,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Norwegian Dental Patient Association,/wiki/Wikipedia:Articles_for_deletion/Norwegian_Dental_Patient_Association,delete,2011-12-17 17:05:00,4,1,12,71,0,1,0,0,0,1,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
European International Business Academy,/wiki/Wikipedia:Articles_for_deletion/European_International_Business_Academy,delete,2011-12-16 20:07:00,8,5,150,914,1,4,0,0,0,2,0,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
USTA Eastern,/wiki/Wikipedia:Articles_for_deletion/USTA_Eastern,delete,2011-12-16 04:34:00,9,5,187,1132,1,2,2,0,0,0,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Connexus Ecosystem,/wiki/Wikipedia:Articles_for_deletion/Connexus_Ecosystem,delete,2011-12-16 04:37:00,9,5,175,1176,2,3,0,0,0,0,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
International Communist Current,/wiki/Wikipedia:Articles_for_deletion/International_Communist_Current,delete,2011-12-16 05:07:00,11,8,478,3097,2,3,1,0,0,0,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Australian Fellowship of Evangelical Students (2nd nomination),/wiki/Wikipedia:Articles_for_deletion/Australian_Fellowship_of_Evangelical_Students_(2nd_nomination),Nomination withdrawn,2011-12-16 04:45:00,9,5,293,1801,5,0,0,0,0,0,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
"Agricultural Research Station, Rahangala","/wiki/Wikipedia:Articles_for_deletion/Agricultural_Research_Station,_Rahangala",delete,2011-12-14 18:44:00,5,2,62,377,0,2,0,0,0,0,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
OTER,/wiki/Wikipedia:Articles_for_deletion/OTER,keep,2011-12-15 00:30:00,9,5,166,1017,3,0,2,0,0,0,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
WOW Alliance,/wiki/Wikipedia:Articles_for_deletion/WOW_Alliance,keep,2011-12-15 00:56:00,11,5,121,723,4,0,1,0,0,0,3,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Tyler Foundation,/wiki/Wikipedia:Articles_for_deletion/Tyler_Foundation,keep,2011-12-14 04:19:00,14,12,365,2300,4,3,3,1,0,0,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Fusion (student movement),/wiki/Wikipedia:Articles_for_deletion/Fusion_(student_movement),no consensus,2011-12-13 16:51:00,8,6,239,1485,4,2,0,0,0,1,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Paris Parisians,/wiki/Wikipedia:Articles_for_deletion/Paris_Parisians,keep,2011-12-13 21:18:00,31,26,4049,25936,4,2,11,3,1,4,11,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Eta Iota Sigma,/wiki/Wikipedia:Articles_for_deletion/Eta_Iota_Sigma,delete,2011-12-13 21:13:00,8,3,203,1307,0,2,0,0,0,1,0,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
University of Washington Alumni Association,/wiki/Wikipedia:Articles_for_deletion/University_of_Washington_Alumni_Association,no consensus,2011-12-13 10:30:00,10,7,319,1961,2,0,5,1,0,0,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Camp Woodland,/wiki/Wikipedia:Articles_for_deletion/Camp_Woodland,delete,2011-12-13 10:08:00,11,7,207,1265,1,4,1,1,0,0,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Children's Philanthropy Center,/wiki/Wikipedia:Articles_for_deletion/Children%27s_Philanthropy_Center,delete,2011-12-13 10:40:00,10,7,239,1485,0,5,2,1,0,1,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Steadfast Trust,/wiki/Wikipedia:Articles_for_deletion/Steadfast_Trust,Delete,2011-12-12 17:54:00,5,2,55,305,0,2,0,2,0,0,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Adrian Empire (2nd nomination),/wiki/Wikipedia:Articles_for_deletion/Adrian_Empire_(2nd_nomination),delete,2011-12-12 19:51:00,5,3,85,525,1,1,1,1,0,0,3,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Amarillo Citizens against Repent Amarillo,/wiki/Wikipedia:Articles_for_deletion/Amarillo_Citizens_against_Repent_Amarillo,merge,2011-12-12 19:54:00,6,4,148,935,0,0,4,0,0,0,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
"Levitan, Sharon & Co.","/wiki/Wikipedia:Articles_for_deletion/Levitan,_Sharon_%26_Co.",delete,2011-12-12 07:17:00,5,2,44,274,0,2,0,1,0,1,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Kompanie 1 (2nd nomination),/wiki/Wikipedia:Articles_for_deletion/Kompanie_1_(2nd_nomination),delete,2011-12-12 05:58:00,5,2,45,302,0,2,0,1,0,0,4,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
G5 (education),/wiki/Wikipedia:Articles_for_deletion/G5_(education),keep,2011-12-11 23:46:00,12,6,264,1578,1,3,2,2,0,0,3,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
FTFT!,/wiki/Wikipedia:Articles_for_deletion/FTFT!,delete,2011-12-11 23:47:00,7,4,162,1020,0,2,2,0,0,0,1,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Orange County LAFCO,/wiki/Wikipedia:Articles_for_deletion/Orange_County_LAFCO,keep,2011-12-11 00:16:00,8,5,228,1402,3,1,1,0,0,0,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Greater Cornerstone Community Center Development Project,/wiki/Wikipedia:Articles_for_deletion/Greater_Cornerstone_Community_Center_Development_Project,delete,2011-12-10 19:10:00,6,2,125,720,0,1,1,0,0,0,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Cumann Staire,/wiki/Wikipedia:Articles_for_deletion/Cumann_Staire,redirect to,2011-12-10 19:11:00,7,3,119,755,0,0,3,0,0,0,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Texas Tech Alumni Association (2nd nomination),/wiki/Wikipedia:Articles_for_deletion/Texas_Tech_Alumni_Association_(2nd_nomination),no consensus,2011-12-10 21:17:00,17,4,499,3180,2,1,1,4,0,0,0,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Dell'arte Opera Ensemble,/wiki/Wikipedia:Articles_for_deletion/Dell%27arte_Opera_Ensemble,Keep,2011-12-08 07:34:00,10,7,214,1380,2,3,2,0,0,0,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Australasian Law Teachers Association,/wiki/Wikipedia:Articles_for_deletion/Australasian_Law_Teachers_Association,keep,2011-12-07 16:16:00,12,10,786,4717,5,1,3,0,0,0,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Axis for Peace,/wiki/Wikipedia:Articles_for_deletion/Axis_for_Peace,delete,2011-12-08 01:50:00,4,1,16,97,0,1,0,0,0,0,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
"Holy Trinity Catholic Church (Los Angeles, California)","/wiki/Wikipedia:Articles_for_deletion/Holy_Trinity_Catholic_Church_(Los_Angeles,_California)",delete,2011-12-07 06:45:00,8,4,205,1310,0,2,2,0,0,0,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
16 June Movement,/wiki/Wikipedia:Articles_for_deletion/16_June_Movement,keep,2011-12-07 00:08:00,10,7,587,3410,3,0,4,0,0,0,4,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Student Radio Association,/wiki/Wikipedia:Articles_for_deletion/Student_Radio_Association,no consensus,2011-12-06 14:22:00,7,3,159,988,0,0,3,1,0,1,3,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Massive Improv,/wiki/Wikipedia:Articles_for_deletion/Massive_Improv,delete,2011-12-05 16:30:00,5,2,299,2075,1,1,0,1,0,0,5,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Michael Youssef,/wiki/Wikipedia:Articles_for_deletion/Michael_Youssef,delete both,2011-12-05 16:56:00,11,4,103,663,0,0,4,0,0,0,2,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Britannica Party,/wiki/Wikipedia:Articles_for_deletion/Britannica_Party,delete,2011-12-05 16:53:00,8,2,81,511,0,2,0,0,0,1,0,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
Markland Medieval Mercenary Militia,/wiki/Wikipedia:Articles_for_deletion/Markland_Medieval_Mercenary_Militia,delete,2011-12-05 04:25:00,8,5,134,860,2,3,0,1,0,0,0,2011-10-16 13:37:39,455843107,4,Wikipedia:Notability_(events)
