articleTitle,articleLink,discussionResult,discussionResultDate,totalUser,totalPosts,totalWords,totalChars,keepVote,deleteVote,otherVotesCount,generalNotabilityCount,eventNotabilityCount,orgNotabilityCount,otherNotabilityCount,revClosestDate,revClosestID,revEditSize,revPageTitle
Toyota Technology Challenge,/wiki/Wikipedia:Articles_for_deletion/Toyota_Technology_Challenge,delete,2019-12-01 12:35:00,7,1,22,130,0,1,0,1,0,0,2,2019-11-22 17:28:19,927462312,6,Wikipedia:Notability_(organizations_and_companies)
Philippine Air Lines Flight 421,/wiki/Wikipedia:Articles_for_deletion/Philippine_Air_Lines_Flight_421,delete,2019-11-30 14:43:00,12,6,143,914,0,6,0,1,0,0,1,2019-11-22 17:28:19,927462312,6,Wikipedia:Notability_(organizations_and_companies)
Philippine Airlines Flight 113,/wiki/Wikipedia:Articles_for_deletion/Philippine_Airlines_Flight_113,delete,2019-11-29 14:38:00,16,10,313,1909,0,9,1,0,1,0,5,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
Hard Rock Laager,/wiki/Wikipedia:Articles_for_deletion/Hard_Rock_Laager,delete,2019-11-29 10:05:00,6,1,18,115,0,1,0,0,1,0,5,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
11 11 Taobao Shopping festival,/wiki/Wikipedia:Articles_for_deletion/11_11_Taobao_Shopping_festival,delete,2019-11-29 07:12:00,9,6,266,1561,0,5,1,0,0,0,2,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
Loktak Day,/wiki/Wikipedia:Articles_for_deletion/Loktak_Day,delete,2019-11-27 21:20:00,5,3,40,259,1,2,0,1,0,0,2,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
November 2019 North American cold wave,/wiki/Wikipedia:Articles_for_deletion/November_2019_North_American_cold_wave,delete,2019-11-27 22:50:00,7,3,111,697,0,1,2,0,0,0,2,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
Tabrez Ansari lynching,/wiki/Wikipedia:Articles_for_deletion/Tabrez_Ansari_lynching,keep,2019-11-26 18:04:00,20,25,1338,7871,8,1,6,5,2,0,3,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
2016 Prague Declaration,/wiki/Wikipedia:Articles_for_deletion/2016_Prague_Declaration,delete,2019-11-24 16:00:00,6,1,12,97,0,1,0,1,1,0,3,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
Santana 2007 performances,/wiki/Wikipedia:Articles_for_deletion/Santana_2007_performances,delete,2019-11-24 04:32:00,3,0,0,0,0,0,0,1,1,0,3,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
RuPaul's DragCon UK,/wiki/Wikipedia:Articles_for_deletion/RuPaul%27s_DragCon_UK,draftified,2019-11-23 01:57:00,19,22,1925,11608,0,2,7,0,0,0,11,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
2019 Tell Rifaat clashes,/wiki/Wikipedia:Articles_for_deletion/2019_Tell_Rifaat_clashes,keep,2019-11-20 04:50:00,10,5,149,948,4,0,1,0,0,0,4,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
1933 United States Virgin Islands governor referendum,/wiki/Wikipedia:Articles_for_deletion/1933_United_States_Virgin_Islands_governor_referendum,redirect,2019-11-20 05:48:00,20,14,1560,9178,2,0,10,1,2,0,0,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
Turkvision Song Contest 2019,/wiki/Wikipedia:Articles_for_deletion/Turkvision_Song_Contest_2019,delete,2019-11-19 07:44:00,8,3,137,856,0,1,2,0,0,0,2,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
Cyclone Maha,/wiki/Wikipedia:Articles_for_deletion/Cyclone_Maha,merge,2019-11-17 19:31:00,20,18,1181,6923,4,0,14,2,0,0,3,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
May 2016 Dürümlü bombing,/wiki/Wikipedia:Articles_for_deletion/May_2016_D%C3%BCr%C3%BCml%C3%BC_bombing,keep,2019-11-17 03:31:00,10,6,371,2280,3,1,0,1,0,0,2,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
DGUSA Uprising,/wiki/Wikipedia:Articles_for_deletion/DGUSA_Uprising,merge,2019-11-16 04:04:00,9,3,70,429,0,0,3,1,0,0,2,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
Jewel of Russia Festival,/wiki/Wikipedia:Articles_for_deletion/Jewel_of_Russia_Festival,delete,2019-11-13 16:07:00,9,3,119,730,0,2,1,1,0,0,1,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
Horizon (festival),/wiki/Wikipedia:Articles_for_deletion/Horizon_(festival),delete,2019-11-11 20:00:00,6,2,68,382,0,2,0,0,0,0,1,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
Bharat Gaurav International Achievement Award,/wiki/Wikipedia:Articles_for_deletion/Bharat_Gaurav_International_Achievement_Award,no consensus,2019-11-11 00:41:00,8,5,234,1368,1,1,2,2,0,0,0,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
US Airways Flight 741 stowaway incident,/wiki/Wikipedia:Articles_for_deletion/US_Airways_Flight_741_stowaway_incident,delete,2019-11-10 17:34:00,12,7,267,1907,1,6,0,0,1,0,2,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
Adultcon,/wiki/Wikipedia:Articles_for_deletion/Adultcon,keep,2019-11-09 10:38:00,9,2,53,309,2,0,0,1,1,0,2,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
Lakers–Rockets brawl,/wiki/Wikipedia:Articles_for_deletion/Lakers%E2%80%93Rockets_brawl,delete,2019-11-08 12:52:00,11,5,320,1989,0,4,0,0,2,0,3,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
The Holy Quran and Science Conference,/wiki/Wikipedia:Articles_for_deletion/The_Holy_Quran_and_Science_Conference,delete,2019-11-07 21:12:00,10,8,239,1516,1,5,2,0,0,0,3,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
1943 USAF C-47 Tamaqua crash,/wiki/Wikipedia:Articles_for_deletion/1943_USAF_C-47_Tamaqua_crash,merge,2019-11-06 03:09:00,14,7,280,1744,0,3,4,0,0,0,2,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
Deaths of Christopher Stewart and Deanna Rivers,/wiki/Wikipedia:Articles_for_deletion/Deaths_of_Christopher_Stewart_and_Deanna_Rivers,delete,2019-11-04 23:07:00,9,4,141,894,0,3,1,0,3,0,2,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
Inkthis (2nd nomination),/wiki/Wikipedia:Articles_for_deletion/Inkthis_(2nd_nomination),delete,2019-11-01 13:52:00,10,3,128,788,0,3,0,1,0,0,0,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
Nustar Fire,/wiki/Wikipedia:Articles_for_deletion/Nustar_Fire,keep,2019-10-31 10:19:00,23,11,989,5792,2,2,4,2,3,0,4,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
Donegal Tuesday,/wiki/Wikipedia:Articles_for_deletion/Donegal_Tuesday,delete,2019-10-29 20:57:00,7,3,158,935,1,1,0,0,0,0,1,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
